2024/08/26 15:57:35 log_file,line: 27     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/08/26 15:57:35 log_file,line: 28     INFO | Logger object created successfully..
2024/08/26 15:57:35 app_chat8,line: 32     INFO | ----------------NEW_SESSION--------------
2024/08/26 15:57:35 app_chat8,line: 33     INFO | InputText: Bạn muốn tra cứu hàng tồn kho?
2024/08/26 15:57:35 main_run,line: 131     INFO | ---ChatText---
2024/08/26 15:57:35 chat,line: 84     INFO | =====rasa=====
2024/08/26 15:57:35 chat,line: 103     INFO | +rasa out+:
Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 15:57:35 chat,line: 105     INFO | ====rasa done!====
2024/08/26 15:57:35 db_postgresql,line: 71     INFO | ======== logs_chat_saleman sucessfully! ==========}
2024/08/26 15:57:35 main_run,line: 199     INFO | ---results---: Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 20:56:46 log_file,line: 27     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/08/26 20:56:46 log_file,line: 28     INFO | Logger object created successfully..
2024/08/26 20:56:46 app_chat8,line: 32     INFO | ----------------NEW_SESSION--------------
2024/08/26 20:56:46 app_chat8,line: 33     INFO | InputText: tồn kho
2024/08/26 20:56:46 main_run,line: 131     INFO | ---ChatText---
2024/08/26 20:56:46 chat,line: 81     INFO | =====rasa=====
2024/08/26 20:56:46 chat,line: 100     INFO | +rasa out+:
Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 20:56:46 chat,line: 102     INFO | ====rasa done!====
2024/08/26 20:56:46 db_postgresql,line: 71     INFO | ======== logs_chat_saleman sucessfully! ==========}
2024/08/26 20:56:46 main_run,line: 199     INFO | ---results---: Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 21:07:53 log_file,line: 27     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/08/26 21:07:53 log_file,line: 27     INFO | +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
2024/08/26 21:07:53 log_file,line: 28     INFO | Logger object created successfully..
2024/08/26 21:07:53 log_file,line: 28     INFO | Logger object created successfully..
2024/08/26 21:07:53 app_chat8,line: 32     INFO | ----------------NEW_SESSION--------------
2024/08/26 21:07:53 app_chat8,line: 32     INFO | ----------------NEW_SESSION--------------
2024/08/26 21:07:53 app_chat8,line: 33     INFO | InputText: tồn kho
2024/08/26 21:07:53 app_chat8,line: 33     INFO | InputText: tồn kho
2024/08/26 21:07:53 main_run,line: 131     INFO | ---ChatText---
2024/08/26 21:07:53 main_run,line: 131     INFO | ---ChatText---
2024/08/26 21:07:53 chat,line: 81     INFO | =====rasa=====
2024/08/26 21:07:53 chat,line: 81     INFO | =====rasa=====
2024/08/26 21:07:53 chat,line: 100     INFO | +rasa out+:
Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 21:07:53 chat,line: 100     INFO | +rasa out+:
Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 21:07:53 chat,line: 102     INFO | ====rasa done!====
2024/08/26 21:07:53 chat,line: 102     INFO | ====rasa done!====
2024/08/26 21:07:53 db_postgresql,line: 71     INFO | ======== logs_chat_saleman sucessfully! ==========}
2024/08/26 21:07:53 db_postgresql,line: 71     INFO | ======== logs_chat_saleman sucessfully! ==========}
2024/08/26 21:07:53 main_run,line: 199     INFO | ---results---: Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
2024/08/26 21:07:53 main_run,line: 199     INFO | ---results---: Anh/chị vui lòng nhập mã hoặc tên sản phẩm và mã tỉnh theo mẫu sau:
